Name,Latitude,Longitude
Willow Creek,40.8671333,-123.9381822
Crescent Creek,41.7575781,-124.2510077
Etna,41.4597337,-122.9033963
Mt. Shasta,41.3188226,-122.352566
Cedarville,41.5290606,-120.1754721
Redding,40.5741234,-122.5031609
Chico,39.7578253,-121.8761129
Healdsburg,38.6204793,-122.8998845
Sacramento,38.5614566,-121.5833431
Truckee,39.3517383,-120.2596479
Santa Rosa,38.4354662,-122.8439757
Yosemite Valley,37.7381002,-119.5968791
San Francisco,37.7576792,-122.5078124
Sonoma,38.291092,-122.4754526
Fresno,36.7854509,-119.9349923
Carmel-by-the-sea,36.5526457,-121.9398761
San Luis Obispo,35.2724758,-120.7405986
Santa Barbara,34.4281887,-119.7371725
Independence,36.8222573,-118.251657
Los Angeles,34.0192213,-118.9736062
San Diego,32.8242389,-117.3760514
Yucca Valley,34.1345804,-116.4920306
Three Rivers,36.4202892,-119.0196605
Bakersfield,35.3208959,-119.1591181
Sea Ranch,38.7151899,-123.4566472
